Step:350	 mouse A(0,37,63)	 mouse B(1,97,79)
Step:351	 mouse A(0,37,64)	 mouse B(1,97,78)
Step:352	 mouse A(0,37,65)	 mouse B(1,97,77)
Step:353	 mouse A(0,36,65)	 mouse B(1,98,77)
Step:354	 mouse A(0,35,65)	 mouse B(1,99,77)
Step:355	 mouse A(0,36,65)	 mouse B(1,99,78)
Step:356	 mouse A(0,37,65)	 mouse B(1,99,79)
Step:357	 mouse A(0,37,64)	 mouse B(1,99,80)
Step:358	 mouse A(0,37,63)	 mouse B(1,99,81)
Step:359	 mouse A(0,37,62)	 mouse B(1,99,82)
Step:360	 mouse A(0,37,61)	 mouse B(1,99,83)
Step:361	 mouse A(0,37,60)	 mouse B(1,98,83)
Step:362	 mouse A(0,37,59)	 mouse B(1,97,83)
Step:363	 mouse A(0,36,59)	 mouse B(1,97,82)
Step:364	 mouse A(0,35,59)	 mouse B(1,97,81)
Step:365	 mouse A(0,34,59)	 mouse B(1,96,81)
Step:366	 mouse A(0,33,59)	 mouse B(1,95,81)
Step:367	 mouse A(0,32,59)	 mouse B(1,94,81)
Step:368	 mouse A(0,31,59)	 mouse B(1,93,81)
Step:369	 mouse A(0,31,58)	 mouse B(1,93,80)
Step:370	 mouse A(0,31,57)	 mouse B(1,93,79)
Step:371	 mouse A(0,31,56)	 mouse B(1,94,79)
Step:372	 mouse A(0,31,55)	 mouse B(1,95,79)
Step:373	 mouse A(0,31,54)	 mouse B(1,95,78)
Step:374	 mouse A(0,31,53)	 mouse B(1,95,77)
Step:375	 mouse A(0,31,54)	 mouse B(1,94,77)
Step:376	 mouse A(0,31,55)	 mouse B(1,93,77)
Step:377	 mouse A(0,31,56)	 mouse B(1,93,76)
Step:378	 mouse A(0,31,57)	 mouse B(1,93,75)
Step:379	 mouse A(0,31,58)	 mouse B(1,92,75)
Step:380	 mouse A(0,31,59)	 mouse B(1,91,75)
Step:381	 mouse A(0,32,59)	 mouse B(1,91,76)
Step:382	 mouse A(0,33,59)	 mouse B(1,91,77)
Step:383	 mouse A(0,33,58)	 mouse B(1,91,78)
Step:384	 mouse A(0,33,57)	 mouse B(1,91,79)
Step:385	 mouse A(0,34,57)	 mouse B(1,91,80)
Step:386	 mouse A(0,35,57)	 mouse B(1,91,81)
Step:387	 mouse A(0,35,56)	 mouse B(1,90,81)
Step:388	 mouse A(0,35,55)	 mouse B(1,89,81)
Step:389	 mouse A(0,34,55)	 mouse B(1,89,80)
Step:390	 mouse A(0,33,55)	 mouse B(1,89,79)
Step:391	 mouse A(0,33,54)	 mouse B(1,88,79)
Step:392	 mouse A(0,33,53)	 mouse B(1,87,79)
Step:393	 mouse A(0,34,53)	 mouse B(1,86,79)
Step:394	 mouse A(0,35,53)	 mouse B(1,85,79)
Step:395	 mouse A(0,36,53)	 mouse B(1,85,80)
Step:396	 mouse A(0,37,53)	 mouse B(1,85,81)
Step:397	 mouse A(0,37,52)	 mouse B(1,85,80)
Step:398	 mouse A(0,37,51)	 mouse B(1,85,79)
Step:399	 mouse A(0,37,50)	 mouse B(1,86,79)
Step:400	 mouse A(0,37,49)	 mouse B(1,87,79)
Step:401	 mouse A(0,37,48)	 mouse B(1,87,80)
Step:402	 mouse A(0,37,47)	 mouse B(1,87,81)
Step:403	 mouse A(0,36,47)	 mouse B(1,87,82)
Step:404	 mouse A(0,35,47)	 mouse B(1,87,83)
Step:405	 mouse A(0,35,48)	 mouse B(1,87,84)
Step:406	 mouse A(0,35,49)	 mouse B(1,87,85)
Step:407	 mouse A(0,35,50)	 mouse B(1,86,85)
Step:408	 mouse A(0,35,51)	 mouse B(1,85,85)
Step:409	 mouse A(0,35,50)	 mouse B(1,85,84)
Step:410	 mouse A(0,35,49)	 mouse B(1,85,83)
Step:411	 mouse A(0,35,48)	 mouse B(1,84,83)
Step:412	 mouse A(0,35,47)	 mouse B(1,83,83)
Step:413	 mouse A(0,35,46)	 mouse B(1,83,82)
Step:414	 mouse A(0,35,45)	 mouse B(1,83,81)
Step:415	 mouse A(0,35,44)	 mouse B(1,83,80)
Step:416	 mouse A(0,35,43)	 mouse B(1,83,79)
Step:417	 mouse A(0,36,43)	 mouse B(1,83,78)
Step:418	 mouse A(0,37,43)	 mouse B(1,83,77)
Step:419	 mouse A(0,37,44)	 mouse B(1,84,77)
Step:420	 mouse A(0,37,45)	 mouse B(1,85,77)
Step:421	 mouse A(0,38,45)	 mouse B(1,86,77)
Step:422	 mouse A(0,39,45)	 mouse B(1,87,77)
Step:423	 mouse A(0,39,46)	 mouse B(1,87,76)
Step:424	 mouse A(0,39,47)	 mouse B(1,87,75)
Step:425	 mouse A(0,40,47)	 mouse B(1,87,76)
Step:426	 mouse A(0,41,47)	 mouse B(1,87,77)
Step:427	 mouse A(0,41,46)	 mouse B(1,88,77)
Step:428	 mouse A(0,41,45)	 mouse B(1,89,77)
Step:429	 mouse A(0,42,45)	 mouse B(1,89,76)
Step:430	 mouse A(0,43,45)	 mouse B(1,89,75)
Step:431	 mouse A(0,43,44)	 mouse B(1,89,74)
Step:432	 mouse A(0,43,43)	 mouse B(1,89,73)
Step:433	 mouse A(0,42,43)	 mouse B(1,90,73)
Step:434	 mouse A(0,41,43)	 mouse B(1,91,73)
Step:435	 mouse A(0,40,43)	 mouse B(1,91,72)
Step:436	 mouse A(0,39,43)	 mouse B(1,91,71)
Step:437	 mouse A(0,39,42)	 mouse B(1,90,71)
Step:438	 mouse A(0,39,41)	 mouse B(1,89,71)
Step:439	 mouse A(0,39,40)	 mouse B(1,89,70)
Step:440	 mouse A(0,39,39)	 mouse B(1,89,69)
Step:441	 mouse A(0,40,39)	 mouse B(1,88,69)
Step:442	 mouse A(0,41,39)	 mouse B(1,87,69)
Step:443	 mouse A(0,41,38)	 mouse B(1,87,70)
Step:444	 mouse A(0,41,37)	 mouse B(1,87,71)
Step:445	 mouse A(0,42,37)	 mouse B(1,87,72)
Step:446	 mouse A(0,43,37)	 mouse B(1,87,73)
Step:447	 mouse A(0,43,38)	 mouse B(1,86,73)
Step:448	 mouse A(0,43,39)	 mouse B(1,85,73)
Step:449	 mouse A(0,43,40)	 mouse B(1,84,73)
Step:450	 mouse A(0,43,41)	 mouse B(1,83,73)
